,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
172,avarua,100,CK,1577607626,78,77.0,-21.21,-159.78,9.17
173,jiutai,90,CN,1577607627,78,10.4,44.15,125.84,6.71
174,chartres,90,FR,1577607627,80,33.01,48.45,1.49,8.05
175,the valley,20,AI,1577607470,88,77.0,18.22,-63.06,4.7
176,hilo,75,US,1577607627,78,73.4,19.71,-155.08,5.82
177,waipawa,0,NZ,1577607627,58,57.99,-39.94,176.59,5.01
178,fougamou,100,GA,1577607628,73,83.12,-1.22,10.59,3.15
179,sitka,0,US,1577607628,86,30.99,37.17,-99.65,15.99
180,ossora,0,RU,1577607629,70,-0.56,59.24,163.07,7.36
181,san andres,0,PH,1577607629,69,79.2,13.32,122.68,3.29
182,zhucheng,75,CN,1577607629,71,51.8,30.85,114.8,4.47
183,hobart,75,AU,1577607530,72,66.99,-42.88,147.33,17.22
184,beawar,0,IN,1577607630,17,66.92,26.1,74.31,9.35
185,tahe,0,CN,1577607630,91,-20.24,52.34,124.71,4.05
186,yantongshan,100,CN,1577607630,95,17.04,43.28,126.02,8.97
187,pompeu,90,BR,1577607630,88,71.6,-21.05,-48.85,5.82
188,cidreira,78,BR,1577607630,88,73.15,-30.17,-50.22,15.28
189,kerekegyhaza,75,HU,1577607631,80,33.01,46.94,19.48,2.24
190,majene,100,ID,1577607631,72,83.79,-3.54,118.97,1.3
191,mount gambier,0,AU,1577607632,31,87.8,-37.83,140.78,10.29
192,tucuman,99,PE,1577607632,85,53.35,-17.17,-70.89,1.77
193,mahebourg,75,MU,1577607632,94,81.0,-20.41,57.7,13.87
194,prachuap khiri khan,0,TH,1577607632,73,80.85,11.81,99.79,8.66
195,esperance,0,AU,1577607454,47,80.6,-33.86,121.89,18.34
196,volovo,74,RU,1577607633,73,23.99,53.55,38.01,8.57
197,flinders,75,AU,1577607477,61,78.01,-34.58,150.85,6.93
198,hokitika,100,NZ,1577607633,79,54.77,-42.72,170.96,8.66
199,buala,27,SB,1577607633,78,80.6,-8.15,159.59,3.06
200,birao,0,CF,1577607634,16,79.88,10.3,22.78,15.03
201,bambous virieux,75,MU,1577607634,94,81.0,-20.34,57.76,13.87
202,kodinsk,100,RU,1577607635,93,-17.36,58.6,99.18,4.9
203,bamiantong,97,CN,1577607635,96,13.21,44.93,130.53,3.69
204,puerto colombia,96,CO,1577607635,78,82.4,10.99,-74.96,10.29
205,faanui,100,PF,1577607635,74,80.98,-16.48,-151.75,11.23
206,cap malheureux,75,MU,1577607636,94,81.0,-19.98,57.61,13.87
207,mitzic,84,GA,1577607636,61,82.13,0.78,11.55,3.4
208,sergeyevka,100,KZ,1577607461,94,6.13,53.88,67.42,12.01
209,paamiut,75,GL,1577607636,59,24.06,61.99,-49.67,1.97
210,zalaegerszeg,75,HU,1577607636,69,34.0,46.84,16.85,17.22
211,porto belo,40,BR,1577607637,88,77.0,-27.15,-48.54,9.17
212,pontianak,94,ID,1577607637,89,81.48,-0.02,109.34,4.59
213,lodja,86,CD,1577607637,73,79.75,-3.52,23.6,1.52
214,coquimbo,75,CL,1577607637,87,59.0,-29.95,-71.34,2.24
215,laiyang,21,CN,1577607638,60,50.0,36.98,120.7,1.9
216,norman wells,75,CA,1577607456,75,-20.2,65.28,-126.83,14.99
217,moussoro,0,TD,1577607639,15,74.91,13.64,16.49,12.5
218,beira,0,ES,1577607639,67,48.99,43.2,-8.36,5.82
219,dikson,10,RU,1577607449,90,-17.12,73.51,80.55,22.5
220,harper,40,US,1577607640,93,48.99,30.3,-99.24,3.36
221,khon kaen,20,TH,1577607642,40,87.8,16.43,102.84,9.17
222,owando,60,CG,1577607642,54,87.84,-0.49,15.91,4.14
223,la rochelle,92,FR,1577607395,93,35.6,46.16,-1.15,9.17
224,lasa,40,CY,1577607455,82,59.0,34.92,32.53,4.7
225,nurota,98,UZ,1577607644,43,50.0,40.56,65.69,11.41
226,concordia,62,AR,1577607644,89,73.99,-31.4,-58.02,4.0
227,bansi,0,IN,1577607644,30,65.62,27.18,82.93,4.88
228,kothi,0,IN,1577607645,23,65.48,24.76,80.77,5.61
229,bereda,0,ES,1577607645,46,42.8,43.27,-7.54,5.82
230,navalmoral de la mata,0,ES,1577607645,50,43.0,39.89,-5.54,5.19
231,bodden town,0,KY,1577607646,77,79.0,19.28,-81.25,5.01
232,muttupet,98,IN,1577607646,70,83.23,10.4,79.48,13.91
233,camalu,0,MX,1577607646,20,32.0,30.85,-116.07,11.01
234,rodrigues alves,100,BR,1577607647,99,72.45,-7.74,-72.65,2.1
235,camacha,40,PT,1577607548,88,66.2,33.08,-16.33,11.41
236,caucaia,75,BR,1577607647,78,86.0,-3.73,-38.66,10.29
237,lagoa,0,PT,1577607477,87,55.4,37.14,-8.45,10.29
238,santander,40,PH,1577607647,70,84.2,9.42,123.33,6.93
239,rognan,75,NO,1577607648,93,43.0,67.1,15.4,25.28
240,bertoua,27,CM,1577607648,18,86.99,4.58,13.68,3.0
241,chumikan,100,RU,1577607648,74,-9.56,54.72,135.31,13.65
242,liaqatabad,40,PK,1577607648,62,51.8,31.56,74.3,3.85
243,souillac,47,FR,1577607648,100,36.0,45.6,-0.6,3.36
244,doka,0,SD,1577607649,24,85.15,13.52,35.76,7.23
245,portel,100,BR,1577607649,99,73.35,-1.94,-50.82,2.06
246,gallup,1,US,1577607486,85,14.0,35.53,-108.74,3.36
247,kibaek,90,DK,1577607650,87,45.0,56.03,8.86,10.29
248,xuanzhou,100,CN,1577607650,82,49.59,30.95,118.78,0.4
249,kloulklubed,75,PW,1577607650,69,82.4,7.04,134.26,12.75
250,college,75,US,1577607650,76,-9.0,64.86,-147.8,4.09
251,plettenberg bay,4,ZA,1577607395,78,69.33,-34.05,23.37,15.35
252,hamilton,5,CA,1577607631,100,33.8,43.26,-79.87,10.29
253,atar,0,MR,1577607651,13,68.41,20.52,-13.05,14.63
254,saskylakh,12,RU,1577607651,95,-29.7,71.97,114.09,9.46
255,bontang,49,ID,1577607444,75,84.02,0.12,117.47,9.86
256,cockburn town,100,TC,1577607652,79,78.19,21.46,-71.14,23.69
257,orvieto,28,IT,1577607588,69,44.01,42.72,12.11,19.46
258,tiznit,0,MA,1577607653,22,59.67,29.7,-9.73,6.58
259,port blair,3,IN,1577607653,78,80.49,11.67,92.75,14.18
260,makokou,3,GA,1577607653,59,83.97,0.56,12.85,4.29
261,mildura,78,AU,1577607653,9,109.0,-34.18,142.16,5.82
262,ballina,20,IE,1577607654,87,55.0,54.11,-9.15,18.34
263,coahuayana,100,MX,1577607654,61,69.57,18.62,-100.35,1.63
264,zacualpan,90,MX,1577607654,82,69.01,21.25,-105.17,9.17
265,tessalit,0,ML,1577607654,15,70.09,20.2,1.01,13.33
266,cartagena del chaira,35,CO,1577607515,99,71.44,1.33,-74.84,1.03
267,severo-kurilsk,100,RU,1577607655,91,25.25,50.68,156.12,25.88
268,kulhudhuffushi,100,MV,1577607655,76,82.24,6.62,73.07,15.23
269,pisco,90,PE,1577607655,88,69.8,-13.71,-76.2,3.36
270,puerto escondido,20,MX,1577607655,74,78.8,15.86,-97.07,2.62
271,lamar,75,US,1577607655,68,26.6,38.09,-102.62,12.75
272,grand gaube,75,MU,1577607656,94,81.0,-20.01,57.66,13.87
273,maturin,100,VE,1577607656,97,70.14,9.75,-63.18,4.05
274,watrous,0,CA,1577607442,91,8.73,51.67,-105.46,2.68
275,isfana,90,KG,1577607656,56,42.8,39.84,69.53,11.18
276,moron,0,HT,1577607540,69,74.37,18.56,-74.26,4.7
277,jalu,0,LY,1577607657,56,60.84,29.03,21.55,21.52
278,tsabong,100,BW,1577607657,84,68.34,-26.02,22.4,10.67
279,pangnirtung,48,CA,1577607657,88,-11.72,66.15,-65.72,3.04
280,sladkovo,100,RU,1577607657,94,5.0,55.53,70.34,12.88
281,wanaka,64,NZ,1577607658,97,44.42,-44.7,169.14,7.81
282,lorengau,81,PG,1577607658,69,84.24,-2.02,147.27,6.78
283,forth,50,AU,1577607658,75,75.0,-41.19,146.25,3.0
284,levin,52,NZ,1577607658,69,61.0,-40.62,175.28,4.0
285,dickinson,90,US,1577607531,85,19.0,46.88,-102.79,16.11
286,batagay-alyta,0,RU,1577607659,78,-28.66,67.8,130.41,4.38
287,mansa,20,IN,1577607659,35,71.6,23.43,72.66,8.05
288,zhigalovo,0,RU,1577607659,95,-28.79,54.81,105.15,2.37
289,lintangan,20,PH,1577607659,45,87.8,7.22,121.95,9.17
290,usinsk,100,RU,1577607660,84,13.62,66.0,57.56,24.14
291,talnakh,94,RU,1577607479,75,-20.2,69.49,88.39,6.71
292,bulungu,100,CD,1577607661,96,69.8,-4.54,18.6,6.82
293,shingu,75,JP,1577607661,62,53.6,33.72,135.99,3.36
294,talaya,100,RU,1577607661,70,-5.8,55.79,84.89,2.24
295,homer,90,US,1577607662,85,21.2,59.64,-151.54,10.29
296,maniitsoq,100,GL,1577607545,50,21.27,65.42,-52.9,7.0
297,raisinghnagar,0,IN,1577607664,15,61.99,29.54,73.45,0.72
298,hobyo,52,SO,1577607664,59,85.39,5.35,48.53,16.42
299,at-bashi,100,KG,1577607664,62,18.97,41.17,75.81,5.97
300,nishihara,90,JP,1577607664,39,50.0,35.74,139.53,1.23
301,longyearbyen,75,NO,1577607665,67,17.6,78.22,15.63,8.05
302,santa rosalia,40,IT,1577607665,50,53.01,38.07,13.27,21.92
303,sabang,0,PH,1577607665,74,84.0,13.8,121.11,1.99
304,san antonio,90,CL,1577607640,100,55.4,-33.58,-71.61,5.82
305,san felipe,68,CL,1577607665,43,55.33,-32.75,-70.73,0.96
306,husavik,100,CA,1577607666,95,10.99,50.56,-96.99,3.0
307,ayan,0,IR,1577607666,74,26.92,38.23,44.7,4.7
308,gat,0,SN,1577607666,58,73.4,14.69,-16.54,9.93
309,hachinohe,20,JP,1577607666,75,32.0,40.47,141.48,2.24
310,surt,58,LY,1577607666,53,55.17,31.21,16.59,20.49
311,pereyaslovskaya,95,RU,1577607667,65,45.03,45.84,39.02,12.55
312,itaituba,99,BR,1577607667,97,72.52,-4.26,-55.99,0.98
313,east london,20,ZA,1577607667,94,68.0,-33.02,27.91,6.93
314,macamic,40,CA,1577607668,92,12.2,48.75,-79.0,3.36
315,vakhtan,47,RU,1577607668,84,10.38,57.97,46.69,4.7
316,olonets,33,RU,1577607605,83,20.44,60.98,32.97,7.9
317,fort frances,90,CA,1577607668,86,27.0,48.61,-93.4,8.05
318,haslett,90,US,1577607668,80,41.0,42.75,-84.4,10.29
319,igarka,93,RU,1577607669,99,-26.12,67.47,86.57,4.52
320,mount abu,0,IN,1577607669,14,73.4,24.59,72.71,1.86
321,solnechnyy,8,RU,1577607669,94,-13.95,50.72,136.64,1.74
322,luderitz,36,NA,1577607669,53,73.4,-26.65,15.16,14.99
323,ninghai,100,CN,1577607670,64,69.8,29.29,121.42,6.71
324,waddan,31,LY,1577607670,49,55.35,29.16,16.14,21.77
325,kruisfontein,100,ZA,1577607459,74,70.34,-34.0,24.73,14.0
326,kikwit,100,CD,1577607670,98,68.25,-5.04,18.82,3.94
327,duobao,100,CN,1577607670,65,55.35,30.67,112.69,4.43
328,chokurdakh,0,RU,1577607671,90,-33.97,70.62,147.9,7.23
329,nokaneng,100,BW,1577607671,51,82.13,-19.66,22.19,9.78
330,pando,31,UY,1577607671,88,73.0,-34.72,-55.96,4.7
331,khash,0,IR,1577607671,36,56.95,28.22,61.21,7.92
332,esmeraldas,40,BR,1577607672,82,69.8,-19.76,-44.31,8.05
333,yarada,20,IN,1577607672,39,78.8,17.65,83.27,11.41
334,port hardy,75,CA,1577607657,87,44.6,50.7,-127.42,24.16
335,saint-augustin,75,CA,1577607565,86,32.0,45.63,-73.98,4.7
336,letnica,75,PL,1577607673,81,32.0,51.9,15.33,3.36
337,kiruna,38,SE,1577607673,82,35.6,67.86,20.23,12.75
338,nelson bay,0,AU,1577607673,38,87.8,-32.72,152.14,12.75
339,nueva guinea,100,NI,1577607673,97,72.66,11.69,-84.46,7.0
340,concepcion,100,CO,1577607674,89,74.1,9.56,-73.66,1.07
341,belaya gora,0,RU,1577607674,79,-35.36,68.54,146.19,2.13
342,manjeshwar,36,IN,1577607674,62,84.2,12.72,74.89,5.82
343,adelaide,20,AU,1577607487,27,100.99,-34.93,138.6,10.29
344,thompson,90,CA,1577607674,84,3.2,55.74,-97.86,4.7
345,tokoroa,0,NZ,1577607675,72,62.01,-38.22,175.87,7.0
346,saint-pierre,15,FR,1577607515,92,28.99,48.95,4.24,9.17
347,koumac,39,NC,1577607675,79,74.71,-20.56,164.28,6.38
348,lucea,20,JM,1577607675,83,77.0,18.44,-78.17,5.82
349,leua,40,AO,1577607675,88,69.8,-11.65,20.45,5.82
350,pozo colorado,0,PY,1577607676,69,77.54,-23.49,-58.8,5.08
351,juneau,90,US,1577607654,86,39.2,58.3,-134.42,8.05
352,santa rosa,57,AR,1577607676,77,66.65,-36.62,-64.29,9.82
353,christchurch,100,NZ,1577607478,72,66.99,-43.53,172.64,6.93
354,carutapera,100,BR,1577607676,80,82.04,-1.2,-46.02,16.55
355,rudkobing,100,DK,1577607677,81,35.6,54.94,10.71,8.05
356,shakawe,100,BW,1577607677,40,87.31,-18.36,21.84,8.23
357,borba,100,BR,1577607677,98,73.2,-4.39,-59.59,2.01
358,kirishi,64,RU,1577607677,72,23.22,59.45,32.01,4.99
359,dandong,100,CN,1577607677,80,36.82,40.12,124.37,12.17
360,altay,63,CN,1577607678,42,7.88,47.83,88.13,2.95
361,tokat,90,TR,1577607678,89,32.0,40.33,36.55,11.41
362,magistralnyy,0,RU,1577607678,95,-27.98,56.17,107.45,3.87
363,buraydah,0,SA,1577607679,42,68.0,26.33,43.97,12.75
364,black forest,0,AU,1577607679,35,100.99,-34.96,138.58,9.17
365,ilanskiy,99,RU,1577607679,90,-8.46,56.24,96.06,3.31
366,dinguiraye,0,GN,1577607679,16,76.75,11.29,-10.71,1.14
367,umm kaddadah,20,SD,1577607680,20,72.66,13.6,26.69,14.07
368,kisangani,89,CD,1577607680,46,91.18,0.52,25.21,2.1
369,arroyo,100,BO,1577607680,99,73.15,-11.08,-66.08,0.65
370,preobrazheniye,100,RU,1577607682,95,26.2,42.9,133.91,1.52
371,ucluelet,100,CA,1577607682,93,46.99,48.94,-125.55,1.99
372,coihaique,20,CL,1577607683,81,46.4,-45.58,-72.07,5.82
373,tuatapere,35,NZ,1577607683,88,57.0,-46.13,167.69,23.0
374,tabou,53,CI,1577607555,79,83.07,4.42,-7.36,0.36
375,agogo,68,GH,1577607684,44,87.91,6.8,-1.08,2.06
376,belyy yar,0,RU,1577607684,68,-18.4,53.6,91.39,1.32
377,iquique,90,CL,1577607684,68,69.8,-20.22,-70.14,1.32
378,madhugiri,38,IN,1577607684,44,81.57,13.66,77.21,6.02
379,fergus falls,90,US,1577607685,100,32.0,46.28,-96.08,10.29
380,wajima,75,JP,1577607685,81,44.6,37.4,136.9,2.24
381,bintulu,75,MY,1577607685,79,86.0,3.17,113.03,9.17
382,baijiantan,100,CN,1577607686,79,18.5,45.63,85.18,5.32
383,chuy,100,UY,1577607686,88,71.02,-33.69,-53.46,2.57
384,sur,37,OM,1577607473,63,73.94,22.57,59.53,8.97
385,acapulco,20,MX,1577607447,88,77.0,16.86,-99.88,3.36
386,yerbogachen,100,RU,1577607687,91,-20.78,61.28,108.01,11.41
